,title,publisher,published,cited_num,times_cited,abstract,keywords,keyword_plus,authors_address,author_university,cited
11,"
Reproductive toxicity of neem seeds (Azadirachta indica) in male quail (Coturnix coturnix japonica)",Ciência Rural,2020年,0,35,"Abstract Prochilodus magdalenae has historically been one of the most important food sources for the human population nationwide. This Colombian endemic species represents more than 50% of all catches in the main river basins of the country. The isolation of the population of P. magdalenae in the Atrato basin demands the adoption of conservation measures adapted to their biological and reproductive characteristics. During our study we recorded the biometric information of P. magdalenae catches obtained via artisanal fishing in the Marriaga swamp (Atrato River lower basin) from April 2014 to March 2015. From a total of 574 recorded individuals, 427 were females and 147 males. The female size ranged between 200 and 415 mm (standard length, SL), and the male size ranged between 210 and 415 mm (SL). In females, the length-weight analysis indicated an isometric growth (6=2.95) and a high correlation between the two variables (r2=0.81). In males, it indicated a negative allometric growth (6=1.87) and a low correlation (r2=0,56). The average size at maturity for the whole analyzed population was 365 mm (SL). The highest period of reproductive activity was estimated between October and March. The size ranges, the average size at maturity, and the spawning seasons of the individuals registered in the Marriaga swamp differed from those registered in the middle and lower area of the Atrato river basin, and other basins where the P. magdalenae has been studied. ? 2019. Acad. Colomb. Cienc. Ex. Fis. Nat.",Azadirachta indica; experimental poisoning; birds; testicular changes; sperm quality,,"[ 1 ] Universidade Federal do Piauí, Brazil
[ 2 ] Universidade de Fortaleza, Brazil
[ 3 ] Universidade Federal Rural do Semi-?rido, Brazil",,
12,"
Reproductive aspects and fishery of Prochilodus magdalenae Steindachner, 1879 (Characiformes: Prochilodontidae) in the Marriaga swamp, Atrato River system, Colombia","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2020年3月,0,34,"OBJECTIVE: To determine the feasibility of genetic identification in a group of newborns from a public hospital in Lima, Peru.",Prochilodus magdalenae; Atrato River; Reproductive aspects; Fishing aspects,,"[ 1 ] Universidad del Tolima, Colombia",,
13,"
Genetic identification of newborns in Peru: A pilot study",Revista chilena de pediatría,2020年,0,0,"The triceps brachii muscle is the primary motor for elbow extension movement, so a lesion that affects its function would greatly ham the quality of life of those affected. The knowledge of its innervation and the biometric localization of its motor points is a useful tool in electro-stimulation muscular therapies. The objective of the study was to determine the number of branches and location of the motor points of this muscle. To this end, 30 superior members of Brazilian individuals were used, to whom a detailed dissection of the posterior compartment of the arm was performed. The number of branches, motor points and biometric location of each of the branches destined for the three heads of the brachial triceps muscle was recorded. A biepicondilar line, traced between the humeral epicondyles, was used as a reference point. In all cases, this muscle was innervated by the radial nerve. The average motor points for the long head of the muscle (LH) was 3.9 + 1.4; for the medial head (MH) was 4.8 + 1.2 and for the lateral head (LatH) was 4.1+1.4. The motor points were concentrated mainly in the middle third of the arm, both at a general level, and also for each head. The biometric data provided will complement the knowledge of the innervation of this muscle and will favor a better understanding and choice of treatments for a pathology.",,,"Gerencia de Calidad e Innovacion, Registro Nacional de Identificacion y Estado Civil, Lima, Peru.
Departamento de Ginecologia, Instituto Nacional Materno Perinatal, Lima, Peru.
Centro Nacional de Salud Publica, Instituto Nacional de Salud, Lima, Peru.",,
14,"
Biometric Location of Motor Points in the Brachial Triceps Muscle of Brazilian individuals",International Journal of Morphology,2020年,0,27,"Maize crop under rainfed conditions is widely grown in the Brazilian Northeast on community farms for human and animal consumption. The application of mulch could be adopted to enhance rainwater harvesting and soil moisture levels, although such practice is rarely applied in rainfed cultivation. This study aimed to evaluate the spatial variability of maize productivity, based on soil physical attributes and plant growth and yield, under a rainfed regime in the presence and absence of mulch in the Brazilian semi-arid region. The study was conducted from May to September 2016 in Pesqueira - PE (locality of the Semiarid of Pernambuco State, Northeast, Brazil), during which the development and production of maize in experimental plots were evaluated, and maize was grown using the traditional cropping system with and without mulching. Two grids with 40 points in a 4 x 10 m mesh were established, with spacing of 1 m for soil sampling and maize biometric evaluation. For statistical analysis, 30 samples were randomly selected from each plot. Maize cultivated in the presence of mulch showed higher development, with symmetrical distribution for all variables except for soil moisture and stem diameter. Sand content, soil moisture, height of the first cob, number of leaves, leaf length, plant height, and cob weight presented moderate to strong spatial scale dependence for the two cropping conditions, with higher spatial dependence consistently observed for the development parameters in the covered area.",Anatomy; Brachial Triceps muscle; Innervation; Motor points,LONG HEAD;?INNERVATION;?NERVE;?LOCALIZATION;?SPASTICITY,"Universidad de La Frontera?Univ La Frontera, Fac Med, Casilla 54-D, Temuco, Chile.","Univ San Sebastian, Dept Ciencias Morfol, Fac Med & Ciencia, Gen Lagos 1163, Valdivia 5090000, Chile",
15,"
Spatial dependence of attributes of rainfed maize under distinct soil cover conditions",Revista Brasileira de Engenharia Agrícola e Ambiental,2020年1月,0,26,"The objective of this work was to apply a multivariate index of vigor in soybean seeds to identify the differential effects of the genotypes x environments interaction on the quality of the seeds produced in the 2016/2017 harvest season. The experiment was conducted in a randomized block design, organized in the factorial scheme, with five seed production environments x 20 soybean genotypes, arranged in four replications. The seed production environments of Tenente Portela - RS and Santa Rosa - RS soybeans are characterized as the environments that express the highest magnitude for seed vigor index, however biometrically Sarandi - RS has been defined as the optimal environment for the production of high vigor seeds according to the tested genotypes. High seed vigor index were expressed for the genotypes TMG 7161 RR, AMS Tibagi RR, BMX Magna RR, Fepagro 37 RR and NA 5909 RG. The differential effects of the genotypes x production environments interaction of soybean seeds influenced by more than 68% the vigor index of the seeds produced.",rainfed agriculture;?kriging;?coconut powder;?mulching;?cultivar Sao Jose,SEMIARID REGION;?VARIABILITY;?MOISTURE;?DYNAMICS;?CROP,"Universidade Federal Rural de Pernambuco (UFRPE)?Univ Fed Rural Pernambuco, Dept Engn Agr, Programa Posgrad Engn Agr, Recife, PE, Brazil.","? Univ Fed Rural Pernambuco, Dept Engn Agr, Programa Posgrad Engn Agr, Recife, PE, Brazil",
16,"
Multivariate index of soybean seed vigor: a new biometric approach applied to the effects of genotypes and environments",Journal of Seed Science,2020年10月,1,29,Objective: To assess the effects of atorvastatin calcium in the treatment of dexamethasone-induced osteoporosis.,Glycine max L.;?multitrait;?differential effects;?strategic positioning;?seed production,ADAPTABILITY;?ASSOCIATIONS;?STABILITY,"Universidade Federal de Pelotas?Univ Fed Pelotas, Fac Agron Eliseu Maciel, Dept Fitotecnia, Caixa Postal 354, BR-96010900 Pelotas, RS, Brazil.","Univ Fed Pelotas, Fac Agron Eliseu Maciel, Dept Fitotecnia, Caixa Postal 354, BR-96010900 Pelotas, RS, Brazil",
17,"
Biometric, histomorphometric, and biochemical profile in atorvastatin calcium treatment of female rats with dexamethasone-induced osteoporosis",Revista Brasileira de Ortopedia,2020年10月,1,0,"Gait recognition is an important biometric technique for video surveillance tasks, due to the advantage of using it at distance. In this paper, we present a persistent homology-based method to extract topological features from the body silhouettes of a gait sequence. It has been used before in several papers for the second author for human identification, gender classification, carried object detection and monitoring human activities at distance. As the previous work, we apply persistent homology to extract topological features from the lowest fourth part of the body silhouette to decrease the negative effects of variations unrelated to the gait in the upper body part. The novelty of this paper is the introduction of the use of a metric learning to learn a Mahalanobis distance metric to robust gait recognition, where we use Linear Discriminant Analysis. This learned metric enforces objects for the same class to be closer while objects from different classes are pulled apart. We evaluate our approach using the CASIA-B dataset and we show the effectiveness of the methods proposed compared with other state-of-the-art methods.",Alendronate; Alkaline phosphatase; Bone histomorphometry; Diphosphonates; Glucocorticoid,,"Universidade Federal de Vicosa (UFV, Departamento de Bioquimica e Biologia Molecular, Vicosa, MG, Brazil.
Universidade Federal de Vicosa (UFV), Departamento de Biologia Geral, Vicosa, MG, Brazil.",,
18,"
Metric Learning to improve the persistent homology-based gait recognition",Revista Cubana de Ciencias Informáticas,2020年9月,0,1,"The aim of this study was to estimate and quantify the degree of association between phytotechnical variables for simultaneous selection of maize genotypes suitable to produce baby corn. Seven genotypes were arranged in field in randomized complete block design with four replicates. Genetic parameters, simple, path and canonical correlations of phytotechnical variables were estimated. The variables production of marketable spikes, length of marketable spikes, final plant stand and plant height showed over 80% heritability and variation index higher than the unity, indicating that superior genotypes can be obtained and selection gains. Significant phenotypic and genotypic correlations were observed for production of marketable spikes, positive and of high magnitude with crude protein, dry mass and final plant stand. However, the direct effect between dry mass and production of marketable spikes was pronounced negative (-0.7085), whereas the phenotypic correlation was positive and showed medium magnitude (0.5343), which should be considered the indirect effect of final plant stand (0.7367), to take advantage of the gains of these two traits. The final plant stand is determinant to increase the production of dry matter and marketable spikes, both direct and indirectly. Given the data, we could identify promising variables for plant breeding which can be indicative to select maize genotypes for baby corn production.",TDA; gait recognition; persistent homology; linear discriminant analysis; metric learning,,"[ 1 ] Centro de Aplicaciones de Tecnologías Avanzadas (CENATAV),, Cuba
[ 2 ] Universidad de la Habana",,
19,"
Biometric analysis in maize genotypes suitable for baby corn production in organic farming system",Horticultura Brasileira,2020年9月,0,14,"Physocalymma scaberrimum is a tree plant with great ornamental value and potential for restoration of degraded areas. Thus, the objective was to characterize the fruits, seeds and seedlings morphologically, as well as evaluate seed germination. For biometric characterization, eight samples of 100 fruits and seeds were used. The seeds were sectioned longitudinally and transversely for the morphological characterization and in the post-seminal study, the growth processes of the seedlings were observed daily and, during the germination test, the abnormalities were described and illustrated and the established criteria to characterize the normal seedling were: healthy root development, total cotyledon expansion and eophilic appearance. For the germination test, two substrates and eight temperatures were used, arranged in a completely randomized design with 4 replicates of 25 seeds, in a factorial scheme 8 x 2 (temperature x substrate). The averages were compared by the Tukey test. The fruits have an average size of 17.4 mm wide by 11.5 mm long, while the seeds have an average of 4.0 mm wide by 3.92 mm long and 0.17 mm thick; The axial linear type embryo occupies less than ? of the seed volume with expanded cotyledons and absent endosperm; The germination is of the epigeal type and the seedling phanerocotiledonar. The paper substrate and the temperature of 25° C provide a higher percentage and speed of germination.",biometry; morphology; pau-roses; germination,,"Univ Estadual N Fluminen, Campos dos Goytacazes, RJ, Brazil.","Univ Estadual N Fluminen, Campos dos Goytacazes, RJ, Brazil",
20,"
Morphometric characterization of seed, fruit and seeds and seed germination of Physocalymma scaberrimum Pohl",Revista de Ciências Agrárias,2020年6月,0,39,"Abstract: The services that digital banking offers in Mexico and in the world have change radically in recent times, going from a traditional branch form of service, to electronic banking and now to financial services in mobile devices and biometric identification banking by telephone, among other advances. This is why the present article analyzes the legal evolution in the development of banking services and offers a perspective of some areas where the law may be overtaken by advances in technology, such as the need to regulate Fintech companies, errors or omissions in the provision of the service, as well as the supervision of the authorities and the protection of the customer.",,,"[ 1 ] Instituto Federal Goiano, Brasil
[ 2 ] Instituto Federal Goiano, Brasil",,
21,"
The challenges of electronic banking in Mexico",Revista IUS,2020年6月,0,19,"Mitochondrial respiratory chain disease is caused by a wide range of individually rare genetic disorders that impair cellular energy metabolism. While fluorescence microscopy analysis of nematodes fed MitoTracker Green (MTG) and tetramethylrhodamine ethyl ester (TMRE) can reliably quantify relative mitochondrial density and membrane potential, respectively, in C. elegans models of mitochondrial dysfunction, it is a tedious process with limitations in the number and age of animals that can be studied. A novel, large particle, flow cytometry-based method reported here accelerates and automates the relative quantitation of mitochondrial physiology in nematode populations. Relative fluorescence profiles of nematode populations co-labeled with MTG and TMRE were obtained and analyzed by BioSorter (Union ",Digital Banking; electronic banking,,"Universidad Anáhuac, Mexico",,
22,"
High-throughput BioSorter quantification of relative mitochondrial content and membrane potential in living &ITCaenorhabditis elegans&IT",MITOCHONDRION,2020年5月,0,17,"B-scan ultrasonography is an important diagnostic tool that allows characterization of internal organ anatomy and, when complemented by Doppler ultrasound, allows vascular hemodynamic assessment, increasing the diagnostic accuracy. Thus, the aim of the present study was the B-scan ultrasound characterization and measurement of the eyeball segments and assessment of the external ophthalmic artery by color and pulsed Doppler. Sixty eyeballs were assessed from 30 dogs of different breeds using an 8.5MHz microconvex transductor. First, biometry was performed by B-scan of the following segments: axial length (M1), anterior chamber depth (M2), lens thickness (M3), lens length (M4), vitreous chamber depth (M5), optical disc length (M6) and optic nerve diameter (M7). Colored Doppler identified the external ophthalmic article and pulsed Doppler assessed its flow, and the following were measured: systolic peak velocity (VPS), final diastolic velocity (VDF), resistivity index (IR) and pulse index (IP). No statistical difference was observed for the biometric values of the eye segments between the right and left eyes (p &gt; 0.05). The vitreous chamber depth (M5) was shown to be the biometric variable with greatest bilateral symmetry, varying from 0.79 to 0.87cm and 0.78 to 0.86cm for the right and left eye, respectively. The ophthalmic artery was visualized over the optic nerve towards the eyeball, with flow stained red. There was no significant statistical difference between the Doppler velocimetric values for the ophthalmic artery between the right and left eye of the animals assessed (p &gt; 0.05). The mean resistivity index (RI) showed average values equal to 0.63 +/- 0.03, bilaterally. The mean base velocity was 17.50cm/s and 18.18cm/s at the systolic peak and 6.21cm/s and 6.68cm/s at the end of the diastole, for the right and left eyes respectively. The anatomic, biometric and hemodynamic characterization using the ultrasound B-scan and the Doppler modalities permitted the ultrasonographic and Doppler velocimetric assessment of the eyeball components in dogs of different breeds, and it can be used in ophthalmic clinical routine to identify eye pathologies.",Mitochondrial disease;?Flow cytometry;?C. elegans;?Screening,DISEASE,"ARC 1002C,3615 Civ Ctr Blvd, Philadelphia, PA 19104 USA.","? Childrens Hosp Philadelphia, Div Human Genet, Philadelphia, PA 19104 USA",
